,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2342567,1758-12-01,4.336,5.365,Florence,Italy,44.20N,11.18E
2342568,1759-01-01,4.348,5.529,Florence,Italy,44.20N,11.18E
2342569,1759-02-01,5.1080000000000005,8.015,Florence,Italy,44.20N,11.18E
2342570,1759-03-01,6.992000000000001,3.2710000000000004,Florence,Italy,44.20N,11.18E
2342571,1759-04-01,9.889,6.403,Florence,Italy,44.20N,11.18E
2342572,1759-05-01,15.155,3.209,Florence,Italy,44.20N,11.18E
2342573,1759-06-01,19.805,5.19,Florence,Italy,44.20N,11.18E
2342574,1759-07-01,23.438,4.454,Florence,Italy,44.20N,11.18E
2342575,1759-08-01,21.894,6.49,Florence,Italy,44.20N,11.18E
2342576,1759-09-01,19.114,5.675,Florence,Italy,44.20N,11.18E
2342577,1759-10-01,13.913,4.457,Florence,Italy,44.20N,11.18E
2342578,1759-11-01,4.686999999999999,5.811,Florence,Italy,44.20N,11.18E
2342579,1759-12-01,2.495,6.039,Florence,Italy,44.20N,11.18E
2342580,1760-01-01,2.02,4.1930000000000005,Florence,Italy,44.20N,11.18E
2342581,1760-02-01,2.4410000000000003,1.843,Florence,Italy,44.20N,11.18E
2342582,1760-03-01,5.35,8.683,Florence,Italy,44.20N,11.18E
2342583,1760-04-01,12.538,6.175,Florence,Italy,44.20N,11.18E
2342584,1760-05-01,15.211,4.152,Florence,Italy,44.20N,11.18E
2342585,1760-06-01,19.346,2.91,Florence,Italy,44.20N,11.18E
2342586,1760-07-01,22.497,3.354,Florence,Italy,44.20N,11.18E
2342587,1760-08-01,21.834,6.506,Florence,Italy,44.20N,11.18E
2342588,1760-09-01,18.894000000000002,4.704,Florence,Italy,44.20N,11.18E
2342589,1760-10-01,13.022,4.496,Florence,Italy,44.20N,11.18E
2342590,1760-11-01,7.007999999999999,2.463,Florence,Italy,44.20N,11.18E
2342591,1760-12-01,5.3370000000000015,3.235,Florence,Italy,44.20N,11.18E
2342592,1761-01-01,1.0639999999999998,5.71,Florence,Italy,44.20N,11.18E
2342593,1761-02-01,5.457000000000002,3.757,Florence,Italy,44.20N,11.18E
2342594,1761-03-01,8.616999999999999,1.645,Florence,Italy,44.20N,11.18E
2342595,1761-04-01,9.262,4.794,Florence,Italy,44.20N,11.18E
2342596,1761-05-01,16.707,5.394,Florence,Italy,44.20N,11.18E
2342597,1761-06-01,20.654,2.216,Florence,Italy,44.20N,11.18E
2342598,1761-07-01,23.784,6.314,Florence,Italy,44.20N,11.18E
2342599,1761-08-01,22.423,2.914,Florence,Italy,44.20N,11.18E
2342600,1761-09-01,19.029,3.782,Florence,Italy,44.20N,11.18E
2342601,1761-10-01,12.015999999999998,4.169,Florence,Italy,44.20N,11.18E
2342602,1761-11-01,5.914999999999999,2.475,Florence,Italy,44.20N,11.18E
2342603,1761-12-01,1.544,2.155,Florence,Italy,44.20N,11.18E
2342604,1762-01-01,4.207,1.764,Florence,Italy,44.20N,11.18E
2342605,1762-02-01,4.059,8.669,Florence,Italy,44.20N,11.18E
2342606,1762-03-01,4.319,5.142,Florence,Italy,44.20N,11.18E
2342607,1762-04-01,12.611,3.792,Florence,Italy,44.20N,11.18E
2342608,1762-05-01,16.153,6.875,Florence,Italy,44.20N,11.18E
2342609,1762-06-01,20.27,6.292999999999998,Florence,Italy,44.20N,11.18E
2342610,1762-07-01,23.97,2.814,Florence,Italy,44.20N,11.18E
2342611,1762-08-01,20.912,2.992,Florence,Italy,44.20N,11.18E
2342612,1762-09-01,17.879,7.881,Florence,Italy,44.20N,11.18E
2342613,1762-10-01,11.337,3.756,Florence,Italy,44.20N,11.18E
2342614,1762-11-01,6.8249999999999975,2.136,Florence,Italy,44.20N,11.18E
2342615,1762-12-01,0.6739999999999999,6.573,Florence,Italy,44.20N,11.18E
2342616,1763-01-01,0.2979999999999996,6.559,Florence,Italy,44.20N,11.18E
2342617,1763-02-01,6.129,4.525,Florence,Italy,44.20N,11.18E
2342618,1763-03-01,5.835,7.202000000000001,Florence,Italy,44.20N,11.18E
2342619,1763-04-01,10.313,1.974,Florence,Italy,44.20N,11.18E
2342620,1763-05-01,13.658,2.945,Florence,Italy,44.20N,11.18E
